City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kutum,SD,79.12,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
3,Pochutla,MX,75.2,mist,15.74,-96.47,Hotel Posada San Jose
4,Hithadhoo,MV,79.48,overcast clouds,-0.6,73.08,Scoop Guest House
6,Kroya,ID,75.56,broken clouds,-7.63,109.25,RUSTANTO Fam
16,Bengkulu,ID,76.26,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
19,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
27,Cabo San Lucas,MX,79.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
29,Ixtapa,MX,82.99,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
31,Castro,BR,77.14,clear sky,-24.79,-50.01,CHACARA BAILLY
33,San Cristobal,VE,89.6,few clouds,7.77,-72.22,Pirineos
36,Alepe,CI,78.8,broken clouds,5.5,-3.66,BENENE 1
37,Tuy Hoa,VN,79.29,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
40,Kalmunai,LK,81.0,scattered clouds,7.42,81.82,VS Villa
48,Indianapolis,US,84.2,broken clouds,39.77,-86.16,Hilton Indianapolis Hotel & Suites
52,Mogadishu,SO,77.56,light rain,2.04,45.34,Hotel Juba
54,Bethel,US,81.0,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
55,Garmsar,IR,75.79,clear sky,35.22,52.34,Peyvand Hotel
58,Atuona,PF,77.88,light rain,-9.8,-139.03,Villa Enata
65,Ribeira Grande,PT,77.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
70,Venkatagiri,IN,85.44,overcast clouds,13.97,79.58,Vamsi Guest House
71,Sao Filipe,CV,79.03,light rain,14.9,-24.5,Tortuga B&B
74,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
76,Tateyama,JP,82.0,clear sky,34.98,139.87,Tateyama Seaside Hotel
80,Fukue,JP,81.88,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
84,Ushibuka,JP,79.97,few clouds,32.19,130.02,Hotei
87,Port Blair,IN,82.18,overcast clouds,11.67,92.75,Fortune Resort Bay Island
97,Karratha,AU,77.49,clear sky,-20.74,116.85,ibis Styles Karratha
99,Butaritari,KI,82.49,overcast clouds,3.07,172.79,Isles Sunset Lodge
105,Les Cayes,HT,89.29,clear sky,18.2,-73.75,Villa Orphee
106,Maragogi,BR,79.09,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
110,Lazaro Cardenas,MX,83.44,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
121,Kulhudhuffushi,MV,82.92,light rain,6.62,73.07,Haajy Guest House 1
122,Victoria,HK,84.0,broken clouds,22.29,114.16,Mini Hotel Central
123,Vila Velha,BR,77.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
126,Road Town,VG,87.8,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
127,Kismayo,SO,77.99,few clouds,-0.36,42.55,Agan-Hotel
133,Santa Cruz De La Palma,ES,82.0,clear sky,28.68,-17.76,H10 Taburiente Playa
134,Hirara,JP,83.05,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
136,Paita,PE,77.0,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
140,Faanui,PF,76.51,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Amalapuram,IN,82.4,scattered clouds,16.58,82.02,swayamprabha service apartments
144,Matay,EG,87.91,clear sky,28.42,30.78,Nag Aespen
151,Bubaque,GW,80.96,light rain,11.28,-15.83,Casa Dora
153,Praia,CV,84.2,scattered clouds,14.92,-23.51,LT Aparthotel
154,Palmer,US,78.01,broken clouds,42.16,-72.33,Wedgewood Motel
158,Samarai,PG,78.24,light rain,-10.62,150.67,Nuli Sapi
160,Lokoja,NG,76.26,moderate rain,7.8,6.74,Hotel Charvid
162,Concordia,AR,75.0,overcast clouds,-31.39,-58.02,Palmar Hotel Casino
163,Vila Franca Do Campo,PT,77.0,few clouds,37.72,-25.43,Pestana Bahia Praia
167,Nanchang,CN,75.51,light rain,28.68,115.88,Ruidu Hotel
170,Salalah,OM,75.2,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
172,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
177,Hambantota,LK,80.85,overcast clouds,6.12,81.12,Bungalow 63
180,San Quintin,MX,78.76,clear sky,30.48,-115.95,Old Mill Hotel
181,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Pousada Porto Praia
182,Ponta Do Sol,PT,79.0,clear sky,32.67,-17.1,Hotel do Campo
184,Hobyo,SO,77.14,broken clouds,5.35,48.53,Osmani Hotel
187,Banda Aceh,ID,80.71,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
189,Auki,SB,77.59,overcast clouds,-8.77,160.7,Auki Motel
190,Sanawad,IN,76.42,overcast clouds,22.18,76.07,Geeta shree
193,Manggar,ID,81.43,broken clouds,-2.88,108.27,Guest Hotel
195,Yilan,TW,82.4,few clouds,24.76,121.75,Dar Chen Hotel
204,Ozuluama,MX,89.08,clear sky,21.67,-97.85,Pailon Quil
208,Takoradi,GH,76.62,scattered clouds,4.88,-1.76,Raybow International Hotel
212,Embonas,GR,82.4,clear sky,36.23,27.86,Hotel Ataviros
213,Senador Jose Porfirio,BR,88.86,broken clouds,-2.59,-51.95,MORADA DO SOL pousada
215,Dakar,SN,87.8,scattered clouds,14.69,-17.44,Novotel Dakar
216,Cururupu,BR,85.06,broken clouds,-1.83,-44.87,Pousada Través'cia
217,Bairiki,KI,82.4,broken clouds,1.33,172.98,Tarawa Boutique Hotel
218,Kavieng,PG,81.23,light rain,-2.57,150.8,Nusa Island Retreat
220,Bentiu,SS,75.88,scattered clouds,9.23,29.83,Mandela hôtel
