City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiksi,RU,71.69,128.87,41.99,80,46,7.74,scattered clouds
1,Itum-Kale,RU,42.74,45.58,64.94,59,37,4.7,scattered clouds
2,Kutum,SD,14.2,24.67,79.12,55,79,9.51,broken clouds
3,Pochutla,MX,15.74,-96.47,75.2,69,90,5.82,mist
4,Hithadhoo,MV,-0.6,73.08,79.48,70,100,11.41,overcast clouds
5,Tahta,EG,26.77,31.5,93.2,23,0,10.29,clear sky
6,Kroya,ID,-7.63,109.25,75.56,88,57,7.09,broken clouds
7,San Juan,AR,-31.54,-68.54,73.04,20,0,7.7,clear sky
8,Vaini,TO,-21.2,-175.2,73.4,88,40,10.29,scattered clouds
9,Saint-Philippe,RE,-21.36,55.77,73.4,69,75,4.7,broken clouds
10,Punta Arenas,CL,-53.15,-70.92,32.0,88,20,36.91,few clouds
11,Souillac,MU,-20.52,57.52,73.4,73,75,10.29,broken clouds
12,Palmares Do Sul,BR,-30.26,-50.51,74.08,60,62,2.75,broken clouds
13,Aykhal,RU,66.0,111.5,51.8,34,75,2.24,smoke
14,Mildura,AU,-34.2,142.15,44.01,70,0,6.93,clear sky
15,Mataura,NZ,-46.19,168.86,45.0,72,37,11.01,scattered clouds
16,Bengkulu,ID,-3.8,102.27,76.26,84,47,7.38,scattered clouds
17,Narsaq,GL,60.92,-46.05,60.8,41,75,34.45,broken clouds
18,Leninskoye,RU,47.94,132.62,60.55,68,94,15.12,overcast clouds
19,Oistins,BB,13.07,-59.53,87.8,70,40,19.46,scattered clouds
20,Kapaa,US,22.08,-159.32,73.99,88,90,4.7,light rain
21,Jamestown,US,42.1,-79.24,73.99,88,90,8.05,overcast clouds
22,Albany,US,42.6,-73.97,73.99,67,79,1.99,broken clouds
23,Lyuban,BY,52.8,28.0,55.89,91,94,3.49,overcast clouds
24,Bluff,NZ,-46.6,168.33,45.0,72,40,11.01,scattered clouds
25,Tuatapere,NZ,-46.13,167.68,45.0,72,16,11.01,few clouds
26,Rikitea,PF,-23.12,-134.97,67.93,66,3,2.39,clear sky
27,Cabo San Lucas,MX,22.89,-109.91,79.0,88,90,3.36,overcast clouds
28,Sarh,TD,9.14,18.39,73.09,95,100,2.01,overcast clouds
29,Ixtapa,MX,20.7,-105.2,82.99,88,90,3.36,overcast clouds
30,Hermanus,ZA,-34.42,19.23,51.01,85,73,1.99,broken clouds
31,Castro,BR,-24.79,-50.01,77.14,44,0,4.68,clear sky
32,New Norfolk,AU,-42.78,147.06,53.01,67,99,1.99,overcast clouds
33,San Cristobal,VE,7.77,-72.22,89.6,55,20,12.75,few clouds
34,Port Hardy,CA,50.7,-127.42,57.2,93,90,2.24,overcast clouds
35,Xam Nua,LA,20.42,104.04,66.29,92,91,1.83,overcast clouds
36,Alepe,CI,5.5,-3.66,78.8,83,75,11.41,broken clouds
37,Tuy Hoa,VN,13.08,109.3,79.29,81,94,6.71,overcast clouds
38,Port Alfred,ZA,-33.59,26.89,58.68,68,0,5.26,clear sky
39,Alberton,CA,46.82,-64.07,63.97,52,2,15.28,clear sky
40,Kalmunai,LK,7.42,81.82,81.0,79,36,6.85,scattered clouds
41,Swan Hill,AU,-35.34,143.55,42.8,72,0,5.77,clear sky
42,Tromso,NO,69.65,18.96,48.2,70,75,9.17,shower rain
43,Hilo,US,19.73,-155.09,71.6,73,1,3.36,clear sky
44,Ushuaia,AR,-54.8,-68.3,33.8,86,75,21.92,light shower snow
45,Busselton,AU,-33.65,115.33,52.0,67,3,16.08,clear sky
46,Nemuro,JP,43.32,145.57,67.82,94,30,7.83,scattered clouds
47,Talant,FR,47.34,5.01,64.4,82,40,14.99,scattered clouds
48,Indianapolis,US,39.77,-86.16,84.2,70,75,14.99,broken clouds
49,Alice Springs,AU,-23.7,133.88,46.4,28,0,3.36,clear sky
50,Barrow,US,71.29,-156.79,37.4,87,90,14.99,overcast clouds
